Date,Start,End,Subject,Activity
4.4.2021.,12:00,12:45,UUI,lesson
5.4.2021.,11:00,12:30,IUT,seminar
5.4.2021.,15:15,17:00,OOUP,study
6.4.2021.,08:00,10:00,BIOINF,lesson
6.4.2021.,13:00,16:00,OOUP,audit exercises
6.4.2021.,16:00,18:00,IUT,lesson
7.4.2021.,08:00,11:00,UUI,lesson
7.4.2021.,13:00,14:00,BA_THESIS,meeting
8.4.2021.,10:30,11:30,SRS,lesson
8.4.2021.,12:00,13:00,OOUP,lab 2
8.4.2021.,14:00,15:00,SRS,lesson
8.4.2021.,15:00,16:00,OOUP,lab 2
8.4.2021.,20:30,21:45,OOUP,lab 2
9.4.2021.,10:30,12:00,OOUP,lab 2
9.4.2021.,13:00,14:30,OOUP,lab 2
10.4.2021.,11:00,12:00,OOUP,lab 2
10.4.2021.,14:30,17:00,OOUP,lab 2
10.4.2021.,18:30,20:00,OOUP,lab 2
11.4.2021.,10:30,12:00,UUI,lab 2
11.4.2021.,12:00,13:00,OOUP,lab 2
11.4.2021.,14:30,16:45,UUI,lab 2
12.4.2021.,12:30,14:30,UUI,lesson
12.4.2021.,15:00,16:30,OOUP,study
13.4.2021.,14:00,15:45,OOUP,lab 2
13.4.2021.,16:00,18:00,IUT,lesson
13.4.2021.,18:30,19:30,OOUP,lesson
14.4.2021.,08:00,11:00,UUI,lesson
14.4.2021.,12:00,13:00,SRS,lesson
14.4.2021.,13:30,14:00,BA_THESIS,meeting
14.4.2021.,14:45,15:00,BA_THESIS,meeting
14.4.2021.,15:00,15:45,SRS,lesson
15.4.2021.,11:30,13:15,BA_THESIS,writing
15.4.2021.,13:15,14:00,SRS,lesson
15.4.2021.,14:30,15:00,BA_THESIS,writing
16.4.2021.,13:00,14:00,OOUP,study
17.4.2021.,11:00,13:00,SRS,study
17.4.2021.,15:00,16:00,SRS,study
17.4.2021.,18:30,19:30,IUT,seminar
18.4.2021.,10:00,11:00,SRS,study
18.4.2021.,12:00,14:00,OOUP,study
18.4.2021.,14:30,15:30,OOUP,study
18.4.2021.,16:00,17:00,OOUP,study
18.4.2021.,18:30,19:45,OOUP,study
19.4.2021.,11:30,12:30,OOUP,study
19.4.2021.,14:30,17:00,OOUP,study
20.4.2021.,11:30,12:00,OOUP,study
20.4.2021.,13:00,15:30,SRS,study
20.4.2021.,18:00,20:30,OOUP,study
21.4.2021.,12:00,14:00,OOUP,study
21.4.2021.,14:00,16:00,SRS,study
22.4.2021.,08:00,10:30,OOUP,midterm exam
22.4.2021.,14:00,17:00,SRS,study
22.4.2021.,21:00,22:30,SRS,study
23.4.2021.,09:15,12:00,SRS,study
23.4.2021.,15:00,17:00,SRS,midterm exam
24.4.2021.,10:00,13:00,UUI,study
24.4.2021.,15:00,16:30,UUI,study
25.4.2021.,10:00,16:30,UUI,study
26.4.2021.,13:30,16:00,UUI,study
27.4.2021.,08:00,10:30,UUI,midterm exam
28.4.2021.,12:00,13:30,IUT,study
28.4.2021.,15:00,17:00,IUT,study
29.4.2021.,08:00,08:30,IUT,midterm exam
29.4.2021.,14:00,15:30,SRS,lab 2
30.4.2021.,12:00,15:00,SRS,lab 2
1.5.2021.,13:30,16:00,BA_THESIS,implementation
2.5.2021.,12:15,13:30,UUI,lesson
3.5.2021.,16:00,17:00,IUT,seminar
3.5.2021.,19:30,19:45,UUI,lesson
4.5.2021.,13:30,15:00,SRS,lesson
5.5.2021.,08:00,10:00,UUI,lesson
5.5.2021.,12:00,13:00,BA_THESIS,meeting
5.5.2021.,15:00,17:00,BA_THESIS,implementation
5.5.2021.,18:00,19:00,BA_THESIS,implementation
5.5.2021.,21:00,21:45,BA_THESIS,implementation
6.5.2021.,10:00,16:00,BA_THESIS,implementation
7.5.2021.,10:00,17:00,BA_THESIS,implementation
10.5.2021.,10:00,12:00,UUI,lab 2
10.5.2021.,13:00,15:00,UUI,lesson
11.5.2021.,11:30,12:30,UUI,lesson
11.5.2021.,13:00,14:30,OOUP,lesson
11.5.2021.,16:00,18:00,IUT,lesson
12.5.2021.,08:00,10:00,UUI,lesson
12.5.2021.,12:00,16:00,OOUP,lab 3
12.5.2021.,18:30,20:30,OOUP,lab 3
14.5.2021.,12:00,15:00,BA_THESIS,implementation
15.5.2021.,11:00,14:00,BA_THESIS,implementation
16.5.2021.,12:15,14:00,OOUP,lesson
17.5.2021.,10:30,12:00,OOUP,lab 3
17.5.2021.,15:00,15:45,OOUP,lesson
17.5.2021.,16:00,16:30,UUI,lesson
17.5.2021.,19:00,20:00,UUI,lesson
18.5.2021.,14:00,15:45,OOUP,lab 3
18.5.2021.,16:00,17:00,UUI,lesson
19.5.2021.,08:00,09:00,UUI,lesson
19.5.2021.,13:00,14:00,BA_THESIS,meeting
19.5.2021.,15:00,16:45,UUI,lab 3
20.5.2021.,14:00,16:45,UUI,lab 3
21.5.2021.,13:30,15:45,UUI,lab 3
22.5.2021.,10:00,14:00,UUI,lab 3
23.5.2021.,10:00,17:00,BA_THESIS,implementation
24.5.2021.,10:00,16:00,BA_THESIS,implementation
25.5.2021.,10:00,16:00,BA_THESIS,implementation
26.5.2021.,15:00,17:00,BA_THESIS,writing
27.5.2021.,11:00,16:00,IUT,seminar
28.5.2021.,08:00,10:00,UUI,lab 3
28.5.2021.,14:00,16:00,IUT,seminar
29.5.2021.,13:30,16:45,OOUP,lesson
30.5.2021.,18:00,21:00,BA_THESIS,writing
1.6.2021.,10:00,12:00,OOUP,lab 4
1.6.2021.,14:00,15:30,OOUP,lab 4
2.6.2021.,17:00,18:00,SRS,lab 4
3.6.2021.,11:00,12:00,SRS,lab 4
3.6.2021.,14:00,16:00,BA_THESIS,writing
3.6.2021.,18:00,19:00,BA_THESIS,writing
4.6.2021.,13:00,18:00,BA_THESIS,writing
5.6.2021.,12:00,16:00,BA_THESIS,writing
6.6.2021.,10:00,13:15,BA_THESIS,writing
7.6.2021.,14:00,16:00,SRS,study
8.6.2021.,13:00,15:00,OOUP,lesson
8.6.2021.,16:00,18:00,IUT,lesson
9.6.2021.,11:00,12:00,BA_THESIS,fixing
10.6.2021.,15:00,17:00,BA_THESIS,fixing
11.6.2021.,12:00,13:00,BA_THESIS,presentation
12.6.2021.,11:00,12:00,SRS,study
12.6.2021.,14:00,16:00,OOUP,study
13.6.2021.,10:00,12:00,OOUP,study
13.6.2021.,13:00,16:00,OOUP,study
14.6.2021.,13:00,16:00,SRS,study
15.6.2021.,10:30,11:30,SRS,study
15.6.2021.,13:00,14:00,SRS,study
15.6.2021.,15:00,17:00,SRS,study
16.6.2021.,12:00,18:00,OOUP,study
17.6.2021.,11:30,14:00,OOUP,final exam
18.6.2021.,15:00,17:45,SRS,final exam
